,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
41,Rafael Nadal,Tommy Robredo,2005,317,48.0000000000,16.0000000000,104745.0000000000,103990.0000000000,0.0000000000,0.0000000000,0.5107111941,-0.9463406474,-1.0960283084,0.7587838476,2.4028519071,1.0052600684,1.2227686626,-1.4053292954,1.1142539151,0.8528307059,2.5342114911,-0.0455589422,-1.7321527300,-2.0421958245,-1.3285845597,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
42,Guillermo Coria,Fernando Gonzalez,2005,317,48.0000000000,16.0000000000,103909.0000000000,103602.0000000000,0.0000000000,0.0000000000,-0.7777989082,-0.3254143416,-0.8714365180,0.1834340760,1.2840529756,0.4409471316,1.1044784084,-1.0554311314,1.4250387047,-0.6267026166,1.0671069706,-0.6258581092,-1.7386854411,-0.5109934509,0.0779874267,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
43,Thomas Johansson,David Nalbandian,2005,317,48.0000000000,16.0000000000,102563.0000000000,103900.0000000000,0.0000000000,0.0000000000,0.0151303855,1.6181306327,0.4761142246,-0.1036167862,-0.9864861314,-2.2184324010,-1.4465128644,1.4082256672,-1.0080648846,0.3169339960,-0.3433403815,1.1636711287,-0.3985102683,-0.0972309246,0.3069180326,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
44,Rafael Nadal,Radek Stepanek,2005,317,48.0000000000,8.0000000000,104745.0000000000,103285.0000000000,0.0000000000,0.0000000000,0.0151303855,-1.7546436010,-0.8714365180,0.7313268086,2.1269226179,1.3947051147,0.2981955168,-2.1296886178,0.9478971086,0.0758819195,2.2877872813,-1.0223705139,-1.8558919389,-1.2256886792,-2.3660006696,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
45,Fernando Gonzalez,Ivan Ljubicic,2005,317,48.0000000000,8.0000000000,103602.0000000000,103344.0000000000,0.0000000000,0.0000000000,-0.9760312317,-0.3027996663,0.5509781547,-0.0736636528,-0.7009587144,0.9446563021,-1.1688346221,-0.9480640030,-0.3334881042,-0.6310588629,-1.5820829939,-1.4009091099,3.2946582627,1.4769042488,-1.6375135744,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
46,David Nalbandian,Ivan Ljubicic,2005,317,48.0000000000,4.0000000000,103900.0000000000,103344.0000000000,0.0000000000,0.0000000000,-1.2733797168,-0.6394309055,-0.1976611467,0.0623734949,0.2364038395,2.8752263836,0.4176983361,-2.0056350333,-0.1128260768,-1.4199157986,-0.4615721812,-1.8558523706,1.2548924424,1.0872162298,-2.7223220667,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
47,Ivan Ljubicic,Rafael Nadal,2005,317,48.0000000000,2.0000000000,103344.0000000000,104745.0000000000,0.0000000000,0.0000000000,0.8080596793,1.7202185718,0.7755699451,-0.7114157857,-1.9581102105,-1.9760142406,-0.6103646707,2.2183178758,-1.3977596051,0.8246651466,-0.9261954486,2.0762777245,0.4322527448,0.1672801324,3.2244236454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
48,Roger Federer,Fernando Gonzalez,2005,173,128.0000000000,32.0000000000,103819.0000000000,103602.0000000000,0.0000000000,0.0000000000,0.2133627089,-0.2233266385,-1.8446676098,1.3453660442,2.1073233176,1.1912795002,0.0151700307,-0.0203257252,0.1042297491,1.0595134992,2.9413933306,0.7783385112,-2.4799376636,-2.4219445415,-0.3762536373,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
49,Mario Ancic,David Nalbandian,2005,173,128.0000000000,32.0000000000,104339.0000000000,103900.0000000000,0.0000000000,0.0000000000,1.6009889730,-0.5102061112,0.5509781547,-0.0961285029,-0.9860271224,-2.6900926255,-1.2174392007,3.2881516449,0.0382587028,1.0280150046,-2.2231334790,1.2872217687,-0.0966667717,0.0181677014,1.5067894617,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
50,Radek Stepanek,Sebastien Grosjean,2005,173,128.0000000000,32.0000000000,103285.0000000000,103206.0000000000,0.0000000000,0.0000000000,1.0062920027,-0.0986237881,-0.4971168673,0.0498930227,0.1247483515,-0.0330256292,0.6629659307,1.1581723510,1.4713838210,-0.2183080947,-1.1499485510,0.4119066592,2.0759266209,0.4636675875,-0.5300617140,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
51,Tommy Haas,Nikolay Davydenko,2005,173,128.0000000000,32.0000000000,103163.0000000000,103786.0000000000,0.0000000000,0.0000000000,1.0062920027,0.7658913575,0.7755699451,-0.1098570224,-1.2840765668,-2.3271059117,-1.0780052718,-0.0174110302,-1.4323990118,1.2891861139,-1.8838774090,0.9240260920,0.7209476198,-0.6288121868,-1.9810012630,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
52,Roger Federer,Carlos Moya,2005,173,128.0000000000,16.0000000000,103819.0000000000,102845.0000000000,0.0000000000,0.0000000000,-0.4804504231,-1.1485782799,-1.0211643783,1.2879558718,1.4834837182,0.6943795533,0.1952081104,0.5055169909,0.8240317939,0.9547424233,0.9356601978,0.5168221982,-0.7095906849,-1.2628743330,-0.3141687483,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
53,Sebastien Grosjean,Rafael Nadal,2005,173,128.0000000000,16.0000000000,103206.0000000000,104745.0000000000,0.0000000000,0.0000000000,-0.9760312317,1.9101793899,1.4493453164,-0.3532262316,-2.3784394895,-0.6079008545,-1.5936873894,1.7413071448,-2.9725477220,-0.1295829950,-1.2494090345,0.8959639028,0.3908481980,1.4673229367,3.9187956319,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
54,Gaston Gaudio,David Ferrer,2005,173,128.0000000000,16.0000000000,103292.0000000000,103970.0000000000,0.0000000000,0.0000000000,0.0151303855,0.8007823753,-1.0960283084,0.2995024681,-0.2877436732,0.5671069199,0.8649706423,0.5615905618,-0.0504594431,1.0143382610,-1.4891767417,0.2368977977,0.4805161534,0.5793194464,2.4109765037,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
55,Nikolay Davydenko,Guillermo Coria,2005,173,128.0000000000,16.0000000000,103786.0000000000,103909.0000000000,0.0000000000,0.0000000000,0.3124788707,0.1643486883,0.2515224341,-0.1036167862,-0.9074988680,0.3298323616,-0.7298659357,0.0579512856,-0.7113609494,-0.7420579007,0.3899450989,0.0240188358,-0.1457836448,0.2056430926,-0.2397622318,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
56,Marat Safin,Tommy Robredo,2005,173,128.0000000000,16.0000000000,103498.0000000000,103990.0000000000,0.0000000000,0.0000000000,1.3036404878,0.5520242511,-0.8714365180,0.4080825768,0.6013464895,0.1027038570,1.1903512003,-0.2207490164,-1.2651648694,1.2152008576,1.7888402245,1.3404604301,-0.8333106061,-1.1412341627,0.8717540671,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
