PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Pablo Cuevas,Malek Jaziri,2019,14,0,128,0,82,0,0,0,0,1,1,0,32.555784,0,0,9,0,61,40,32,14,10,1,2,0,34.562628000000004,0,0,1,2,57,41,28,6,10,1,4,1,0,0,0,1
Gilles Simon,Malek Jaziri,2019,25,0,28,0,188,0,0,0,0,1,1,0,33.722108,0,0,7,2,112,75,50,22,15,12,13,0,34.562628000000004,0,0,6,5,125,65,38,34,16,11,15,1,0,1,0,0
David Ferrer,Malek Jaziri,2019,11,0,28,0,111,0,0,0,0,1,1,0,36.364134,0,0,1,5,76,52,36,12,10,1,4,0,34.562628000000004,0,0,3,2,86,58,35,10,11,3,8,1,0,0,0,1
Federico Delbonis,Malek Jaziri,2019,11,0,28,0,115,0,0,0,0,0,1,0,27.797399,0,0,1,3,78,40,30,12,10,9,13,0,34.562628000000004,0,0,3,5,67,36,25,18,11,5,7,1,0,1,0,0
Daniel Evans,Malek Jaziri,2019,7,0,96,0,73,0,0,0,0,1,1,0,26.959616999999998,0,0,3,1,53,40,28,6,7,5,6,0,34.562628000000004,0,0,1,3,59,36,16,8,7,5,11,1,0,0,0,1
Steve Darcis,Malek Jaziri,2019,31,0,28,0,93,0,0,0,0,1,1,0,33.689254,0,0,1,0,65,42,27,16,10,3,4,0,34.562628000000004,0,0,6,0,56,22,17,14,10,1,5,1,0,0,0,1
Sam Querrey,Malek Jaziri,2019,31,0,28,0,51,0,0,0,0,1,1,0,30.926762,0,0,0,6,46,25,14,8,6,8,12,0,34.562628000000004,0,0,8,1,26,17,17,7,6,0,0,1,0,0,0,1
Pablo Cuevas,Stephane Robert,2019,6,0,28,0,49,0,0,0,0,1,1,0,32.555784,0,0,2,7,43,21,13,8,8,4,8,0,36.84052,0,0,14,1,48,30,23,11,9,0,1,1,0,0,0,1
Pablo Cuevas,Jo Wilfried Tsonga,2019,7,0,96,0,87,0,0,0,0,1,1,0,32.555784,0,0,3,2,60,39,33,10,10,3,3,0,33.418207,0,0,3,1,59,35,24,11,10,2,4,1,0,0,0,1
Novak Djokovic,Jo Wilfried Tsonga,2019,7,0,28,0,124,0,0,0,0,1,1,0,31.266256,0,0,12,1,87,61,45,18,16,3,5,0,33.418207,0,0,10,1,92,50,36,19,15,4,9,1,0,0,0,1
